model,judge_a,judge_b,discordant,n01_a_wrong_b_right,n10_a_right_b_wrong,chi2_cc,p_value
qwen-llm,statistical,ai:summary,102,65,37,7.1471,0.00721
qwen-llm,statistical,hybrid:gated,102,65,37,7.1471,0.00721
qwen-llm,ai:summary,hybrid:gated,0,0,0,0.0,1.0
phi4-llm,statistical,ai:summary,106,79,27,24.5377,0.0
phi4-llm,statistical,hybrid:gated,77,57,20,16.8312,3e-05
phi4-llm,ai:summary,hybrid:gated,29,7,22,6.7586,0.00813
olmo2-llm,statistical,ai:summary,142,82,60,3.1056,0.07765
olmo2-llm,statistical,hybrid:gated,142,82,60,3.1056,0.07765
olmo2-llm,ai:summary,hybrid:gated,0,0,0,0.0,1.0
mistral-nemo-llm,statistical,ai:summary,87,61,26,13.2874,0.00022
mistral-nemo-llm,statistical,hybrid:gated,86,61,25,14.2442,0.00013
mistral-nemo-llm,ai:summary,hybrid:gated,1,1,0,0.0,1.0
deepseek-r1-llm,statistical,ai:summary,127,80,47,8.063,0.00433
deepseek-r1-llm,statistical,hybrid:gated,98,68,30,13.9694,0.00016
deepseek-r1-llm,ai:summary,hybrid:gated,29,17,12,0.5517,0.45826
moondream-vlm,statistical,ai:plot,115,62,53,0.5565,0.45581
moondream-vlm,statistical,hybrid:gated,37,31,6,15.5676,4e-05
moondream-vlm,ai:plot,hybrid:gated,78,47,31,2.8846,0.08878
granite-vision-vlm,statistical,ai:plot,137,79,58,2.9197,0.08713
granite-vision-vlm,statistical,hybrid:gated,17,17,0,15.0588,2e-05
granite-vision-vlm,ai:plot,hybrid:gated,120,58,62,0.075,0.78433
minicpm-v-vlm,statistical,ai:plot,96,53,43,0.8438,0.3584
minicpm-v-vlm,statistical,hybrid:gated,61,40,21,5.3115,0.02041
minicpm-v-vlm,ai:plot,hybrid:gated,35,22,13,1.8286,0.17547
